Team,Paid,IP,Options,,Skills,,,,,,,,
Northrop Grumman: Airport Traffic Analytics,0,OPEN,0,,DM,DB,ALG,CP,PY,JAVA,ML,STAT,UI/UX
CU Environmental Studies: Species Identification App,0,OPEN,0,,MA,WA,CV,DB,JAVA,ALG,CV,,
Benefactors,1,CLOSED,0,,WA,DB,PHP,FE,UI/UX,STAT,,,
The Ultimate Wine App,1,CLOSED,0,,MA,WA,UI/UX,FE,CV,,,,
CU College of Engineering and Applied Science: University Communications App,0,OPEN,0,,MA,NW,UI/UX,DB,,,,,
Last Words Project,0,OPEN,0,,MA,UI/UX,DB,WA,FE,JAVA,,,
Building Brains,1,CLOSED,0,,UI/UX,WA,3D,,,,,,
Northrop Grumman: Computing Project(s),0,OPEN,0,,ES,CP,ALG,ML,DM,CV,UI/UX,,
Food for Thought and Golden Backpack: Volunteer Mobile App,0,OPEN,0,,UI/UX,DB,MA,,,,,,
CU Cognitive Psychology: The Self-Tester,0,OPEN,0,,ALG,UI/UX,ML,WA,,,,,
Conference on World Affairs: Volunteer Management Services,0,OPEN,0,,WA,DB,FE,PY,UI/UX,,,,
My Support Partners Project,0,CLOSED,0,,WA,SEC,UI/UX,DB,ALG,NW,,,
CU College of Music: Music U: Share and Learn,0,OPEN,0,,FE,WA,UI/UX,MA,,,,,
LandPotential.org: Soil Spectroscopy App,0,OPEN,1,LandPotential,MA,UI/UX,CV,ALG,DB,STAT,,,
NTIA: Automated Spectrum Enforcement in Boulder Wireless Test Bed,0,OPEN,1,NTIA,,,,,,,,,
NTIA: Privacy Issues in Spectrum Monitoring,0,OPEN,1,NTIA,NW,CP,JAVA,ALG,,,,,
NTIA: Crowd Source Based Spectrum Monitoring and Characterization,0,OPEN,1,NTIA,NW,MA,,,,,,,
Tactile Picture Book Project: Co-Make 3D Modeling,0,OPEN,0,,3D,UI/UX,FE,DB,WA,,,,
David Clark Cause: Cause Flash,1,CLOSED,0,,NW,UI/UX,DB,FE,MA,,,,
LandPotential.org: Farm-to-Farm App,0,OPEN,1,LandPotential,MA,,,,,,,,
LandPotential.org: Data Mining,0,OPEN,1,LandPotential,MA,,,,,,,,
LandPotential.org: Domestic Applications,0,OPEN,1,LandPotential,MA,,,,,,,,